Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
South Asia,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,      3.87,,,,,,,,,,,,      5.63,      6.51,      7.76,      6.96,      6.59,      6.65,      6.86,,,
South Asia,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,      3.92,      3.81,      3.83,,      3.82,,,,,,,      4.95,      4.11,      4.75,      5.38,      6.10,      4.99,      5.16,      5.25,      5.51,      5.00,      4.86,,,,,
South Asia,"Iran, Islamic Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,      3.98,,,,,,,,,,,,,,,,,,,,
South Asia,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,      5.22,      5.83,      6.61,      6.96,      7.11,      7.12,      8.41,      8.61,      9.51,     10.65
South Asia,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,      4.12,      4.08,      4.20,,      5.05,      5.52,      5.88,,      5.76,      6.65,      7.65,      7.35,      7.19,      7.97,      8.13,      8.31,      9.28
South Asia,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,      3.85,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Saudi Arabia,All Products,Import,Partner share(%)-Top 5 Import Partner,      6.95,      7.48,      6.68,      5.82,      5.62,      5.47,      7.33,      7.43,      6.04,,,,,,,      5.43,,,,,,,,,,,
South Asia,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,,      3.85,      4.21,      4.48,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Soviet Union,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,      7.80,     13.97,     15.86,     13.80
South Asia,Switzerland,All Products,Import,Partner share(%)-Top 5 Import Partner,      4.03,      4.63,      5.17,      5.61,      5.17,,,      3.97,,      4.16,,,,      5.51,,,      5.89,      5.52,,,,,,,,,
South Asia,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,      9.75,      9.64,     11.94,     10.95,     10.91,     12.47,      9.44,      9.08,      8.21,      7.49,      7.63,      6.57,      5.37,      5.13,      4.83,      5.25,      4.88,,,,,,,,,,
South Asia,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,      6.83,      7.86,      8.34,      7.65,      8.47,      7.07,      6.04,      5.41,      4.89,      4.24,      4.38,,,,,,,,,,,,,,,,
South Asia,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,      3.80,      4.57,      4.42,      5.15,      5.26,      5.75,      5.92,      5.99,      5.90,      6.06,      6.31,      6.31,      5.78,      6.29,      6.48,      6.54,      6.88,      6.36,      6.53,      6.47,      6.46,      5.82,      5.70
South Asia,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,      4.85,      5.30,      5.22,      5.69,,      4.95,      4.72,      5.30,,,,      6.05,      7.84,      8.46
South Asia,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,     13.85,     12.93,     13.21,     12.15,     12.45,     12.70,     13.46,     15.83,     17.93,     19.03,     19.66,     21.39,     23.61,     23.23,     25.71,     24.67,     23.98,     20.94,     20.86,     19.11,     21.66,     21.25,     21.61,     18.42,     16.95,     16.90,     18.43
South Asia,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,      4.25,      4.54,      4.59,      4.48,      4.88,      5.50,      6.87,      6.29,      5.93,      5.58,      6.04,      6.16,      6.03,      5.96,      4.98,      6.67,      7.75,      8.31,      8.47,      9.75,      9.46,      9.84,      8.62,      8.87,      9.87,     11.98,     11.44
South Asia,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,      5.33,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,      5.57,     21.69,     20.13,     19.39,     22.60,     21.74,     19.52,,,      7.16,     10.56,     10.56,      7.00,      7.66,      7.84,      8.18,      8.57,,
South Asia,World,All Products,Trade Indicator,Country Growth (%),,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,World,All Products,Tariff,Duty Free Tariff Lines Share (%),     21.84,      4.65,     11.36,      9.88,     10.27,      5.88,      6.42,      5.11,      5.35,      4.66,      2.87,      2.56,      2.44,      6.94,      9.29,      3.58,      9.88,      2.39,      3.03,      0.82,      1.10,      2.45,      3.50,,      1.40,      0.53,
South Asia,World,Animal,Export,Export Product share(%),      3.43,      3.05,      2.41,      2.16,      2.03,      1.76,      1.84,      2.13,      2.20,      2.38,      2.41,      2.87,      3.67,      3.80,      4.27,      3.64,      4.12,      4.71,      4.73,      4.50,      5.04,      4.46,      4.05,      4.20,      3.95,      3.90,      3.83
